Vendor Name,Department,Last 12 months Cost (USD),1-line Description,Recommendation,Rationale,Confidence
Aetna Life And Casualty Ltd,People & HR,"$124,661",US health insurance benefits for employees,Optimize,"Aetna is a major health insurance provider; classification as employee benefits under People & HR is correct. Optimize is appropriate to review plan design, contribution structures, and negotiate renewal rates.",high
Rsm Uk Corporate Finance Llp,Corporate Development,"$117,078",M&A transaction advisory services for acquisition,Protected,RSM UK Corporate Finance LLP is explicitly listed as an M&A transaction advisor tied to the deal; one-time fees are Protected per rules.,high
Amazon Web Services Llc,IT & Infrastructure,"$106,399","AWS cloud infrastructure hosting (EC2, S3, RDS, Lambda)",Optimize,"Correct classification. Primary cloud provider with significant spend; standard optimization opportunities via reserved instances, right-sizing, and unused resource cleanup.",high
Telefonica Global Services Gmbh,IT & Infrastructure,"$89,880",Telefónica managed telecom services — voice/data connectivity,Optimize,Telecom services are essential infrastructure; ~$90K annual spend warrants contract review and potential renegotiation or consolidation with other carriers.,high
Hr Solution International Gmbh,People & HR,"$80,823",HR consulting and outsourcing services provider,Consolidate,"HRSolution International is a known HR outsourcing/consulting firm with DACH presence. Given 'Hrsolution International Ag' likely exists as duplicate entry, mark for consolidation under single vendor record. Scope is HR services, not ambiguous enough to warrant Investigate.",medium
4I Advisory Services,Corporate Development,"$71,860",M&A transaction advisory services,Protected,Agree: 4I Advisory Services appears to be an M&A advisor tied to the acquisition transaction; one-time deal fee qualifies as Protected under strict rules.,high
Bisley Law Ltd,Legal,"$67,414","UK commercial law firm — contracts, employment, corporate advisory",Optimize,Agree. Bisley Law Ltd is a UK commercial law firm providing ongoing legal services. Moderate spend warrants rate negotiation or scoping review rather than termination; not statutory so not Protected.,high
Infosys,Engineering,"$66,570",Global IT consulting and software development services,Optimize,Agree. Infosys is a major IT/software consultancy; $67K spend warrants rate renegotiation or scope review post-acquisition rather than termination.,high
Big Frontier Pty Ltd (Cult Of Monday),Marketing,"$66,131","Creative agency for brand, content, or campaign production",Optimize,Australian creative/branding agency (Cult Of Monday) with moderate spend; agree with Optimize to negotiate scope or project-based engagement.,high
Harmonic Group Limited,G&A,"$65,418",Unclear business function — name suggests consulting or advisory services,Investigate,"Agree with PASS-1. 'Harmonic Group Limited' is opaque — could be strategy consulting, business advisory, or niche services. With $65K spend, scope must be confirmed before proper classification and recommendation.",low
Wework Singapore Pte. Ltd.,Facilities,"$64,373",Co-working office space in Singapore,Optimize,"Correct classification. WeWork is flexible workspace/real estate, properly in Facilities. Optimize is appropriate as co-working terms can be renegotiated or capacity right-sized post-acquisition based on Singapore headcount needs.",high
Cloud Technology Solutions Ltd,IT & Infrastructure,"$60,661",Cloud infrastructure consulting or managed services provider,Investigate,"Agree - generic name does not clarify whether this is cloud consulting, managed services, or reseller. $60K spend warrants scope confirmation before optimization decision.",low
"Navan, Inc",Travel & Entertainment,"$57,929",Corporate travel and expense management platform,Optimize,"Navan is the main travel platform but is a recurring SaaS/service vendor, not a statutory or M&A transaction cost. Should be retained but renegotiated for better rates or scope—not Protected.",high
Tmforum,Engineering,"$57,560",TM Forum membership — telecom/tech industry standards and frameworks,Investigate,"Agree. TM Forum provides telecom industry standards (e.g., Open APIs, eTOM). At $57K/year, need to validate relevance to current product roadmap and whether membership delivers tangible value post-acquisition for a SaaS business.",medium
Linkedin Ireland Limited,Marketing,"$55,573",LinkedIn Talent Solutions and Marketing Solutions platform,Optimize,"LinkedIn serves dual purposes (recruitment via Talent Solutions, marketing via Sponsored Content/Ads). At ~$56K, likely includes both; review allocation between HR recruiting needs and marketing campaigns to right-size spend.",high
Kimble Applications Ltd,IT & Infrastructure,"$52,825",Kimble PSA platform for professional services automation,Optimize,"Kimble is a Salesforce-native PSA tool; given the company uses Salesforce as main CRM, evaluate consolidation into Salesforce PSA capabilities or negotiate licensing based on actual utilization.",high
Sage Uk Limited,Finance,"$46,895",UK accounting and payroll software platform,Optimize,"Agree. Sage is a well-known UK accounting/payroll platform. Post-acquisition, should assess overlap with consolidated finance stack and right-size or migrate as needed.",high
Grant Thornton,Finance,"$46,539",Audit and accounting services,Consolidate,Correct classification. Grant Thornton provides audit/accounting services; consolidating under anchor firm BDO reduces fragmentation and improves negotiating leverage.,high
SveuäIliå¡Te U Zagrebu,People & HR,$0,University of Zagreb — likely intern program or training partnership,Investigate,"Croatian universities are not statutory levies for private companies. This is likely an intern/apprentice program, academic partnership, or employee training arrangement. Zero spend suggests inactive or prepaid. Not a mandatory government fee — reclassify to People & HR and investigate actual purpose.",medium
Ss&C Intralinks Inc,Corporate Development,"$39,966",Virtual data room for M&A due diligence and transactions,Protected,"SS&C Intralinks is a VDR provider tied to M&A transactions. Per Rule 10, deal-related M&A infrastructure is Protected as one-time transaction cost, not recurring operational spend to optimize.",high
Veniture D.O.O.,Engineering,"$39,342",Croatian software development or IT consulting firm,Investigate,"Veniture is a known Croatian software development and IT consulting company, not a facilities provider. However, specific engagement scope (staff augmentation, project work, etc.) needs verification to determine if services overlap with internal engineering or can be consolidated.",medium
Accutrainee Limited,People & HR,"$38,841",UK-based trainee placement and legal training program,Optimize,Accutrainee provides paralegal/trainee solicitor placements for law firms; fits People & HR as L&D/talent pipeline. Moderate spend warrants contract review for volume discount or scope alignment.,high
Mason Frank International Ltd,People & HR,"$38,148",Salesforce/tech recruitment agency — contingent hiring fees,Optimize,"Mason Frank is a well-known Salesforce ecosystem recruitment specialist. Classification as People & HR is correct. Optimize is appropriate — consolidate to preferred agencies and renegotiate placement fees rather than terminate, as specialized tech recruiting capability is still needed.",high
"Houlihan Lokey Advisors, Llc",Corporate Development,"$37,461",M&A transaction advisory services for acquisition,Protected,"Houlihan Lokey is a well-known M&A advisory firm; this spend is clearly tied to the acquisition transaction itself, making it a one-time deal fee that qualifies for Protected status.",high
Vector Capital Management Lp,Corporate Development,"$32,427",M&A transaction advisory fees — one-time acquisition cost,Protected,"Vector Capital Management LP is the PE acquirer/transaction party; fees are deal-related and one-time, correctly classified as Protected per M&A advisor rule.",high
Hubspot Ireland Limited,Sales,"$32,187",CRM and marketing automation platform,Consolidate,Agree - HubSpot overlaps with Salesforce (main CRM); consolidation into the anchor system is appropriate.,high
Nefron - Obrt Za Poslovne Usluge,Facilities,"$30,614",Croatian sole proprietorship for office cleaning and maintenance,Investigate,"Agree. 'Obrt za poslovne usluge' is a generic Croatian sole proprietorship for business services — could be cleaning, maintenance, or admin support. $30K spend warrants clarification of scope before consolidation decisions.",low
"Planful, Inc.",Finance,"$27,741",Cloud-based financial planning and budgeting platform (FP&A),Optimize,Agree. Planful is a legitimate FP&A tool; moderate spend warrants seat/license review and enterprise pricing negotiation post-acquisition.,high
Cognism Limited,Sales,"$27,013",B2B lead generation and contact intelligence platform,Optimize,"Cognism is a sales intelligence tool for prospecting data; at $27K/year, worth evaluating overlap with other intent/contact data providers in stack and renegotiating seat count.",high
Uberflip,Marketing,"$26,091",Content experience platform for marketing hubs and flipbooks,Optimize,Correct classification; Uberflip is a marketing content platform with moderate spend warranting utilization review and potential contract renegotiation.,high
Agram Life Osiguranje D.O.O.,People & HR,"$24,952",Croatian life insurance provider for employees,Optimize,"Life insurance for employees is a benefit, not a statutory/mandatory requirement in Croatia. Employee benefits are negotiable and can be optimized for cost/coverage. Protected is reserved for true statutory obligations and one-time M&A fees.",high
Google Ireland Limited,Marketing,"$24,798","Google Ads, Analytics, Workspace licenses for Ireland entity",Optimize,"Agree with PASS-1. Google Ireland typically handles Ads/Analytics billing for EMEA plus Workspace. At ~$25K/yr, likely a mix of both. Audit ad spend ROI and Workspace seat counts; consolidate billing with other Google entities if present.",medium
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,Legal,"$24,135",Croatian law firm — local employment and commercial law,Optimize,Agree. Croatian legal counsel is necessary for local jurisdiction matters; spend is modest but should be benchmarked against regional alternatives.,high
Care Health Insurance Company Limited,People & HR,"$24,045",Group health insurance coverage for India employees (Chennai office),Optimize,Correct classification. Health insurance for employees is a core HR benefit; Optimize is appropriate to review coverage levels and negotiate premiums while maintaining essential coverage.,high
New Star Networks(Nsn),IT & Infrastructure,"$23,887",Network infrastructure and connectivity services provider,Investigate,"Agree with PASS-1. 'New Star Networks' is ambiguous — could be telecom carrier, managed network services, or hardware reseller. Spend level ($24K) warrants clarification on scope and whether it overlaps with other IT infrastructure vendors before optimization decision.",low
Bupa- Supplier,People & HR,"$22,800",UK private medical insurance for employees,Optimize,"Bupa is a major UK health insurer; employee medical insurance is a core HR benefit. Optimize by reviewing coverage tiers, headcount alignment, and negotiating rates post-acquisition.",high
Shree Info System Solutions Pvt Ltd,IT & Infrastructure,"$22,275",India-based IT support and software development firm,Investigate,"Agree with PASS-1. Generic name reveals no specific service scope; could be local IT support, staff augmentation, or software development. At $22K spend, worth confirming if redundant with other IT vendors or essential India office infrastructure support.",low
Technet It Recruitment,People & HR,"$21,952",IT recruitment agency for technical hiring,Optimize,Agree. IT recruitment agency correctly classified under People & HR. Optimize is appropriate to consolidate with primary recruitment partners and benchmark cost-per-hire metrics.,high
Mightyhive Ltd,Marketing,"$19,042",Programmatic advertising and Google Marketing Platform services,Optimize,MightyHive (now part of S4 Capital) provides GMP/DV360 consulting and managed services; spend should be right-sized to current campaign needs.,high
Cedar Recruitment Ltd,People & HR,"$18,537",UK recruitment agency for permanent hires,Optimize,Recruitment agency correctly placed in People & HR. Optimize is appropriate — negotiate fees or consolidate with other recruitment vendors rather than terminate.,high
Eurofast International Ltd-Greec,Finance,"$18,164",Greek tax compliance and accounting advisory services,Optimize,Eurofast is a known regional accounting/tax advisory firm serving multinational subsidiaries. Greece presence likely supports statutory compliance for a legal entity. Not legacy without evidence — recommend Optimize to review scope and fee structure rather than Investigate.,medium
Hrvatski Telekom D.D.,IT & Infrastructure,"$18,084","Croatian telecom provider — internet, mobile, landline services",Optimize,Correct classification. Hrvatski Telekom is the main Croatian telco; essential for local office connectivity but spend should be reviewed for plan optimization and user count right-sizing.,high
Sodexo Svc India Private Limited,Employee Experience,"$17,810",Chennai office catering and food services provider,Optimize,"Sodexo India primarily provides catering/food services for employees, which falls under Employee Experience per rules, not Facilities. Facilities is for real estate, utilities, maintenance only.",high
Peakon Aps,People & HR,"$17,108",Employee engagement and continuous feedback platform,Optimize,"Peakon (now Workday Peakon) is a well-known employee engagement survey platform. Classification as People & HR is correct. Optimize is appropriate for mid-tier spend — review active user counts, survey frequency, and negotiate licensing.",high
Plus Your Business Ltd,Finance,"$17,074",UK accounting/bookkeeping services for local entity compliance,Consolidate,"Name clearly indicates UK bookkeeping/accounting outsourcing. With BDO as main audit firm, this should be consolidated into BDO's scope or eliminated. No investigation needed - standard local compliance bookkeeping that can be folded into primary audit relationship.",high
Benefit Systems D.O.O.,Employee Experience,"$16,900","Croatian employee wellness/benefits platform (gym, sports, recreation)",Optimize,Agree. Benefit Systems is a well-known employee wellness/benefits provider in CEE markets (MultiSport card). Correctly classified as Employee Experience (not Facilities). Optimize is appropriate to review utilization and renegotiate based on post-acquisition headcount.,high
Smart Group Services D.O.O.,Facilities,"$16,438","Croatian facilities/property services (cleaning, maintenance, security)",Optimize,Agree with PASS-1. Local Croatian D.O.O. providing facilities services at ~$16K/year is reasonable for office operations; should negotiate rates or consolidate with other local facilities vendors if any.,medium
Jones Lang Lasalle (Nsw) Pty Ltd,Facilities,"$16,274",Commercial real estate services for Australia (NSW) office,Optimize,JLL is a major commercial real estate services firm; NSW entity clearly supports Australian office operations. Optimize to review scope and negotiate rates post-acquisition.,high
"Workato, Inc.",IT & Infrastructure,"$16,101",Enterprise iPaaS for workflow automation and integrations,Optimize,Workato is a legitimate integration platform (iPaaS) connecting enterprise systems; spend is reasonable for mid-market usage; optimize through usage review and tier negotiation.,high
Konzum Plus D.O.O.,Employee Experience,"$15,684",Croatian supermarket chain for office groceries and snacks,Optimize,"Konzum Plus is Croatia's largest supermarket/grocery chain, not an office supplies vendor. Spend likely covers employee snacks, beverages, and pantry items — belongs in Employee Experience, not Facilities.",high
Westbrook Advisers,Corporate Development,"$15,360",M&A transaction advisory services for acquisition,Protected,"Westbrook Advisers is an M&A advisor tied to the acquisition; one-time deal fee, appropriately Protected per rules.",high
Work Easy Space Solutions Private Limited,Facilities,"$14,913",India office fit-out and coworking space operator,Optimize,Agree. Workspace/facility management for India office is correctly Facilities. Low spend warrants renegotiation or scope review rather than termination.,high
"Taxstudio, Ltd.",Finance,"$14,642",Tax compliance and advisory services,Investigate,Agree. Tax advisory scope unclear; need to confirm jurisdiction coverage and whether BDO or in-house handles similar work before consolidation decision.,medium
Pingo D.O.O.,Facilities,"$14,508",Croatia office cleaning or facility maintenance services,Optimize,Agree with PASS-1. Pingo D.O.O. appears to be a Croatian facilities/cleaning service provider. Low recurring spend suitable for contract renegotiation or service frequency review.,medium
Magazin Raunalni Sistemi D.O.O.,IT & Infrastructure,"$13,870",Croatian computer/IT hardware retailer for local office equipment,Optimize,Agree. 'Magazin Računalni Sistemi' is a Croatian IT hardware retailer; legitimate local equipment supplier for Croatia office. Optimize through consolidated purchasing cycles or volume discounts.,high
Tp Prime D.O.O.,Facilities,"$13,785",Croatian facilities or office maintenance services,Investigate,"Agree with PASS-1. 'TP Prime' is ambiguous and could be facilities maintenance, cleaning, or another service. Croatian D.O.O. with moderate spend warrants scope confirmation before optimization decision.",low
Granttree Limited,Finance,"$13,659",UK R&D tax credit advisory and claim filing,Optimize,GrantTree specializes in R&D tax credit claims; valuable service but fee structure should be benchmarked against success-based alternatives or competitive bids.,high
Cigna Sg,People & HR,"$13,249",Singapore employee health insurance and benefits provider,Optimize,Cigna is a well-known health insurer; Singapore office employee benefits are appropriately classified under People & HR with Optimize to review coverage levels and costs.,high
Collards Chartered Accountants,Finance,"$12,879","UK accounting firm — likely audit, tax, or advisory",Consolidate,Agree. Collards is a regional UK accounting firm; consolidating under BDO as the main audit relationship reduces fragmentation and improves negotiating leverage.,high
Bupa Australia,People & HR,"$12,463",Australian employee health insurance benefits,Optimize,Correct classification. Bupa is a major Australian health insurer providing employee benefits; not statutory/mandatory but standard employee benefit. Optimize by reviewing plan tiers and headcount alignment.,high
4I Management Consulting Private Limited,G&A,"$12,117",India-based HR and operational strategy consultancy,Investigate,"Agree. Opaque scope, potential duplicate of '4I Advisory Services' entry. Need to confirm if same entity and clarify deliverables before consolidation decision.",low
"Grad Zagreb, Gradski Ured Za Prostorno Ureä‘Enje,..",Statutory / Non-discretionary,"$11,637",Zagreb City Office spatial planning permits and fees,Protected,Municipal government office for spatial planning/permits in Zagreb; mandatory regulatory fees for operating office space in Croatia. Correctly classified as statutory.,high
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,G&A,"$11,605",Croatian boutique business consulting firm,Investigate,"Business consulting ('poslovno savjetovanje') is G&A, not Facilities. Facilities is for real estate, utilities, maintenance, couriers. Agree scope is unclear and needs investigation, but department correction required.",medium
Ramiro D.O.O.,Facilities,"$11,516",Croatian local vendor - likely office maintenance or services,Investigate,"Agree with PASS-1. 'Ramiro D.O.O.' is an opaque Croatian entity name with no clear indication of service type. Could be facilities, catering, IT services, or other. Spend level (~$11.5K) warrants investigation to determine function before classification decision.",low
Visalogic Limited,People & HR,"$11,241",UK immigration and visa sponsorship services for employees,Optimize,Visalogic is a legitimate UK immigration services provider supporting employee visa/sponsorship needs. Spend level reasonable for a global company with UK presence; can negotiate volume rates or compare with alternative providers.,high
Poles Ltd - Hanbury Manor,Employee Experience,"$10,488",UK hotel venue for team events or offsites,Optimize,"Hanbury Manor is typically used for team offsites/events, which falls under Employee Experience rather than Travel & Entertainment. T&E is for individual business travel; team events and offsites belong in Employee Experience per classification rules.",high
Shoff Darby Companies,Facilities,"$10,100","US-based facility services (cleaning, maintenance, or janitorial)",Investigate,"Shoff Darby is an insurance brokerage/employee benefits firm, not facilities services. Name is opaque and spend level warrants confirmation of actual service scope before reclassifying.",low
Emerge Development Consultancy Ltd,Engineering,"$10,046",Software development consulting or specialized technical services,Investigate,"Vendor name suggests development consultancy but specific scope unclear; could be staff augmentation, product development, or training. Needs confirmation of ongoing need and whether it overlaps with acquirer's engineering resources.",low
Performancepro,People & HR,"$10,018",Performance management and employee review software platform,Investigate,Agree. Performance management tool at ~$10K spend warrants investigation to confirm active usage and potential overlap with existing HRIS performance modules before optimization or consolidation decision.,medium
Microsoft Ireland Operations Limited,IT & Infrastructure,"$9,822",Microsoft 365 licenses and Azure cloud services,Optimize,Agree. Core productivity/cloud infrastructure with standard license optimization opportunity post-acquisition.,high
Catering Muring,Employee Experience,"$9,603",Croatian office catering services (Zagreb/Split locations),Optimize,"Employee food/catering belongs in Employee Experience, not Facilities per classification rules. Recommendation unchanged.",high
Omonia D.O.O.,Employee Experience,"$9,559",Office catering and employee meals,Consolidate,"Omonia is a well-known catering/restaurant brand in Croatia, not a facilities/maintenance vendor. Should be categorized under Employee Experience for employee meals/catering and consolidated with other Croatian food vendors.",medium
Outreach Corporation,Sales,"$9,206",Sales engagement platform for email sequencing and cadences,Consolidate,Outreach is a standalone sales engagement tool; Salesforce (main CRM) has native Sales Engagement capabilities. Consolidation reduces redundancy and cost.,high
Cbre Limited,Facilities,"$8,395",Commercial real estate services — office leasing and facilities management,Optimize,CBRE is a well-known commercial real estate services firm; low spend indicates advisory/brokerage fees that can be renegotiated or consolidated with other property services.,high
Studentski Centar - Split,Employee Experience,"$8,269",Student Center Split — subsidized canteen/cafeteria meals for Croatia office,Optimize,"Employee meals and canteen services belong to Employee Experience, not Facilities per rule 4/5. Recommendation remains Optimize — negotiate rates or meal caps.",high
The Guardian,Marketing,"$8,070",UK news publication — recruitment advertising or brand marketing,Investigate,"Agree. The Guardian spend could be job board advertising (People & HR) or brand/content marketing (Marketing). At $8K, worth confirming purpose to assign correct department and consolidation path.",medium
Intertrust Singapore Corporate Services Pte Ltd - Csc,Statutory / Non-discretionary,"$7,360",Singapore corporate secretarial and registered office services,Protected,"Statutory corporate services for Singapore entity (registered office, company secretary) are mandatory regulatory requirements, not discretionary legal spend. Moving to Statutory / Non-discretionary department while retaining Protected status.",high
Goto Technologies Uk Limited,IT & Infrastructure,"$7,316",GoTo meeting and collaboration platform (GoToMeeting/Webinar),Terminate,"Agree — GoTo is a legacy video/webinar tool likely redundant with modern stacks (Zoom, Teams, Meet). Low spend, clear termination candidate.",high
Hrsolution International Ag,People & HR,"$6,987",Swiss HR consulting/software services,Investigate,Low spend Swiss HR entity with unclear scope; also note potential duplicate with 'Hr Solution International Gmbh' - confirm if same vendor for consolidation.,low
Trello,Engineering,"$6,674",Project management and task tracking boards,Consolidate,"Trello is a Kanban-style project board owned by Atlassian. With Jira likely in use for engineering, Trello creates redundant tool sprawl. Consolidate into primary PM platform.",high
Obrt Sjaj Sunca,Facilities,"$6,596",Croatian cleaning/janitorial services for Zagreb/Split offices,Optimize,"Agree with PASS-1. 'Obrt Sjaj Sunca' (Croatian sole proprietorship, 'Sunshine Sparkle') is clearly a local cleaning service. Facilities is correct for janitorial. Optimize appropriate for rate negotiation or consolidation with other cleaning vendors.",high
Telefã³Nica Compras Electrã³Nicas S.L.,IT & Infrastructure,"$6,157",Telefónica telecom services — likely mobile/internet connectivity Spain/EMEA,Optimize,Agree. Telefónica is a major telecom provider; electronic procurement arm suggests connectivity or mobile services. Low spend warrants rate review and consolidation check against other telecom vendors.,high
Allianz Australia Workers' Compensation (Victoria) Limited,People & HR,"$6,099",Workers' compensation insurance for Victoria office employees,Optimize,"Workers' comp insurance belongs under People & HR per rules. While legally required, the carrier choice and pricing are negotiable — not Protected. Optimize to review rates/coverage.",high
Icici Lombard Gic Ltd,People & HR,"$5,972",India group health insurance coverage (Chennai office),Optimize,ICICI Lombard is a leading Indian general insurer; employee health coverage is a standard HR benefit. Review premium rates and coverage terms for potential savings or consolidation with other India benefits.,high
Mosaic Concept D.O.O.,Employee Experience,"$5,731",Croatian event planning or catering services provider,Consolidate,"D.O.O. vendors with 'Concept' in name in Croatia typically provide event/catering services rather than facilities maintenance. At ~$5.7k annual spend, fits pattern of local caterer/event supplier. Should consolidate with other Croatian catering vendors rather than investigate.",medium
Limes Plus D.O.O.,Facilities,"$5,624",Office cleaning and hygiene supplies provider in Croatia,Optimize,"Limes Plus D.O.O. is a known Croatian cleaning/hygiene supplies and facility services company. For a Croatia office, this is a standard facilities vendor - not opaque enough to warrant Investigate. Low spend suggests scope optimization or competitive bidding.",medium
Mercer Limited,People & HR,"$5,444",Global HR consulting and employee benefits advisory services,Optimize,Mercer is a well-known HR consulting firm for compensation benchmarking and benefits. Low spend at $5.4K suggests limited or ad-hoc engagement; appropriate to optimize scope rather than terminate given potential strategic value.,high
Acclime Corporate Services,Finance,"$5,413",Corporate secretarial and compliance services (likely APAC jurisdictions),Optimize,"Acclime provides corporate secretarial, accounting, and compliance services across APAC (Singapore, Hong Kong, Vietnam, etc.). Low spend suggests limited scope — candidate for consolidation with other regional corporate service providers or fee renegotiation.",high
Green Commute Initiative,Employee Experience,"$5,402",UK cycle-to-work salary sacrifice bike scheme,Optimize,Correct classification. Green Commute Initiative is a UK cycle-to-work benefit provider; fits Employee Experience. Low spend warrants review of employee uptake and admin fee negotiation.,high
Tattu Manchester Limited,Employee Experience,"$5,366",UK restaurant — team dining or employee meals,Optimize,"Restaurant dining for teams/employees belongs in Employee Experience per rules, not Travel & Entertainment. Spend level suggests team meals or occasional events rather than client entertainment.",medium
Athlete Service Ltd,Employee Experience,"$5,285",Corporate wellness or fitness membership services for employees,Optimize,Agree with Pass-1. Vendor name suggests fitness/wellness benefit for employees. Modest spend supports employee wellness program classification. Recommend reviewing utilization and consolidating with any other wellness providers.,medium
Amazon Web Services Inc.,IT & Infrastructure,"$5,153",AWS cloud infrastructure (EC2/S3/RDS) — duplicate entity,Consolidate,Correct classification. Duplicate AWS billing entity should be consolidated with Amazon Web Services LLC as the primary entry.,high
Telemach Hrvatska D.O.O.,IT & Infrastructure,"$5,134",Croatian internet/telecom provider for Zagreb/Split offices,Optimize,Agree. Telemach is a major Croatian ISP; essential local connectivity for office operations. Spend is modest but should be reviewed for plan optimization and potential bundle discounts.,high
"Acclime Usa, Inc",Finance,"$4,995",U.S. corporate secretarial and entity compliance services,Investigate,"Agree. Acclime provides entity compliance/corporate secretarial services. Post-acquisition, need to confirm if U.S. entity maintenance is still required or can be consolidated with acquirer's corporate services provider.",medium
Centar Za Sigurnost D.O.O.,Facilities,"$4,991",Croatia security services for Zagreb/Split offices,Optimize,Agree. 'Centar Za Sigurnost' (Security Center) is a Croatian physical security provider. Facilities is correct for office security services. Low spend warrants scope/rate review rather than termination.,high
Profi Bar D.O.O.,Employee Experience,"$4,917",Croatian office catering and beverage services,Optimize,"Employee food/beverage services belong in Employee Experience, not Facilities per classification rules. Recommendation and description remain appropriate.",high
Pricewaterhousecoopers Llp,Finance,"$4,879","Big Four tax advisory and financial audit firm",Consolidate,Correct classification. Low spend suggests limited scope; consolidating under BDO as primary auditor reduces vendor fragmentation and improves leverage.,high
Pinnacle Partnership Ca,Finance,"$4,836","Canadian chartered accountants, likely local statutory or tax compliance",Optimize,"Pinnacle Partnership CA is a Canadian chartered accountancy firm. Given the global footprint, this is likely local statutory/tax compliance work rather than duplicative of BDO's group audit. Low spend suggests limited scope. Optimize to confirm necessity and consolidate if overlapping with other local accountants.",medium
The Virtual Legal Counsel Ltd,Legal,"$4,800",UK virtual legal counsel for contracts and advisory,Optimize,Pass-1 is correct. Low-spend fractional legal service is a viable optimization candidate for retainer renegotiation or consolidation with primary legal counsel post-acquisition.,high
Australian Payroll Professionals Pty Ltd,People & HR,"$4,399",Australia payroll processing and compliance services,Optimize,Correct classification. Payroll provider for AU office; low spend indicates small headcount. Evaluate consolidation into global payroll platform post-acquisition.,high
Inter Continental Chennai Mahabalipuram Resort,Travel & Entertainment,"$4,393",Hotel accommodation Chennai India for business travel,Optimize,"Luxury resort spend should flow through Navan for policy enforcement, rate negotiation, and visibility. Direct bookings bypass T&E controls.",high
Jetbrains S.R.O.,Engineering,"$4,083","JetBrains IDE licenses (IntelliJ, PyCharm, WebStorm) for software development",Optimize,Agree. JetBrains is essential developer tooling; low spend but worth reviewing seat utilization and license consolidation.,high
Crowe Horwath Revizija D.O.O.,Finance,"$4,062",Croatian audit and accounting firm (Zagreb/Split region),Consolidate,Agree. Local audit/accounting firm in Croatia should consolidate under BDO as primary global auditor to reduce fragmentation and leverage enterprise rates.,high
Puducherry Backwater Resort Private Limited,Travel & Entertainment,"$4,056",India resort accommodation for company offsites or team events,Optimize,Correct classification. Resort bookings outside Navan platform should be evaluated - either consolidate into Navan or justify premium venue for specific team events.,medium
Orionw Llc,IT & Infrastructure,"$4,025",Cloud infrastructure or DevOps tooling services,Investigate,Orionw LLC is an opaque vendor name with no clear indicator of service type; low spend but requires confirmation of scope and necessity before action.,low
Adobe Systems Software,IT & Infrastructure,$0,Creative Cloud and PDF software licenses,Investigate,"Zero spend with a major software vendor warrants investigation - could indicate payment through different entity, prepaid contract, or inactive account requiring cleanup.",medium
"Common Desk, Llc",Facilities,"$3,842",Coworking/flexible office space provider,Investigate,Agree. Low spend coworking arrangement warrants investigation to confirm if still needed given permanent office locations post-acquisition.,medium
Hep Elektra D.O.O.,Facilities,"$3,735",Croatian electricity utility provider for Zagreb/Split offices,Optimize,Electricity utilities are not statutory/mandatory in the Protected sense—they are essential operating costs but subject to rate negotiation and provider switching where deregulated. Should be Optimize to explore better rates or consolidate with other utility contracts.,high
